model,variant,color,fuel_type,transmission,price,manufacture_date,sale_date,state,mileage,engine_capacity,battery_capacity,charging_time,seating_capacity,ground_clearance,boot_space
Tesla Model Y,Plaid,Ultra Red,Electric,Automatic,65454.88,2024-05-05,2024-05-19,Oregon,280.7,0,88.3,10.9,7,152.8,495
Tesla Model 3,Long Range,Deep Blue Metallic,Electric,Automatic,42363.77,2023-11-05,2024-01-20,Oregon,303.3,0,94.9,1.5,5,142.8,516
Tesla Cybertruck,Performance,Pearl White,Electric,Automatic,74511.69,2023-10-10,2023-11-05,Washington,308.7,0,85.1,11.1,5,150.6,519
Tesla Model S,Plaid,Midnight Silver Metallic,Electric,Automatic,118185.97,2024-03-29,2024-04-17,New Jersey,336.3,0,68.4,6.8,5,144.2,627
Tesla Roadster,Performance,Pearl White,Electric,Automatic,209020.57,2024-06-14,2024-06-28,Washington,461.6,0,66.0,7.8,5,145.5,571
Tesla Model Y,Standard Range,Solid Black,Electric,Automatic,66378.11,2024-09-27,2024-10-26,Connecticut,329.3,0,94.4,8.5,7,147.1,769
Tesla Cybertruck,Long Range,Red Multi-Coat,Electric,Automatic,54356.12,2023-11-22,2024-02-02,Illinois,311.4,0,98.5,5.3,5,146.6,490
Tesla Model X,Plaid,Midnight Silver Metallic,Electric,Automatic,83858.14,2024-07-17,2024-09-01,Arizona,330.0,0,91.1,1.5,7,147.3,833
Tesla Cybertruck,Plaid,Pearl White,Electric,Automatic,55557.0,2023-10-13,2023-11-11,Massachusetts,331.7,0,61.2,1.9,5,156.4,646
Tesla Roadster,Standard Range,Stealth Grey,Electric,Automatic,215596.76,2024-01-19,2024-01-31,Illinois,535.4,0,97.0,8.7,5,160.1,454
Tesla Model 3,Plaid,Red Multi-Coat,Electric,Automatic,46341.45,2024-08-04,2024-10-16,Oregon,303.8,0,98.7,2.4,5,145.5,640
Tesla Model S,Plaid,Pearl White,Electric,Automatic,106829.0,2024-03-11,2024-03-23,Maryland,405.0,0,72.1,9.4,5,164.4,496
Tesla Model 3,Performance,Solid Black,Electric,Automatic,44231.91,2023-09-28,2023-10-15,Washington,302.8,0,74.5,3.1,5,158.1,532
Tesla Model X,Plaid,Deep Blue Metallic,Electric,Automatic,86075.65,2023-10-30,2024-01-07,Maryland,307.2,0,98.9,2.2,7,147.6,463
Tesla Model S,Long Range,Red Multi-Coat,Electric,Automatic,124837.74,2023-06-18,2023-09-10,Washington,387.9,0,66.9,6.1,5,145.4,524
Tesla Model X,Plaid,Deep Blue Metallic,Electric,Automatic,109528.52,2023-11-02,2023-12-17,Washington,306.6,0,66.9,9.7,7,158.8,551
Tesla Model 3,Plaid,Stealth Grey,Electric,Automatic,49106.08,2023-05-13,2023-06-25,Texas,281.8,0,70.2,6.3,5,147.2,526
Tesla Model Y,Long Range,Ultra Red,Electric,Automatic,50564.58,2023-12-13,2024-01-13,Connecticut,314.8,0,97.0,4.7,7,143.0,874
Tesla Cybertruck,Standard Range,Solid Black,Electric,Automatic,57513.28,2023-08-06,2023-08-21,Texas,413.5,0,80.4,7.6,5,152.0,619
Tesla Cybertruck,Performance,Solid Black,Electric,Automatic,50902.92,2023-07-19,2023-07-25,Connecticut,378.5,0,93.8,1.1,5,141.5,633
Tesla Roadster,Standard Range,Deep Blue Metallic,Electric,Automatic,223432.98,2024-08-09,2024-11-02,California,495.7,0,86.2,1.5,5,152.6,484
Tesla Model S,Plaid,Stealth Grey,Electric,Automatic,79210.08,2023-06-09,2023-08-11,New York,368.6,0,85.6,9.3,5,169.6,628
Tesla Model 3,Plaid,Red Multi-Coat,Electric,Automatic,52671.01,2023-09-19,2023-11-19,Arizona,284.4,0,73.8,6.8,5,168.3,626
Tesla Model X,Plaid,Stealth Grey,Electric,Automatic,106111.56,2024-08-07,2024-09-05,Florida,340.5,0,72.3,2.8,7,162.3,788
Tesla Cybertruck,Long Range,Stealth Grey,Electric,Automatic,76362.04,2023-03-18,2023-05-20,New Jersey,370.0,0,70.0,1.0,5,143.8,477
Tesla Roadster,Standard Range,Pearl White,Electric,Automatic,208671.07,2024-12-13,2025-01-23,Connecticut,472.1,0,75.7,7.1,5,157.0,450
Tesla Cybertruck,Performance,Stealth Grey,Electric,Automatic,73219.09,2024-04-28,2024-07-10,New York,405.9,0,96.1,2.5,5,141.7,482
Tesla Cybertruck,Standard Range,Stealth Grey,Electric,Automatic,49991.91,2024-10-02,2024-10-03,Massachusetts,455.5,0,77.5,10.3,5,167.9,516
Tesla Cybertruck,Plaid,Midnight Silver Metallic,Electric,Automatic,76991.45,2024-11-27,2024-12-01,Connecticut,328.4,0,95.8,1.2,5,169.1,631
Tesla Model X,Plaid,Deep Blue Metallic,Electric,Automatic,139160.22,2024-07-10,2024-09-28,New York,328.3,0,84.5,3.9,7,160.1,834
Tesla Model X,Long Range,Solid Black,Electric,Automatic,123545.79,2024-12-31,2025-02-13,New York,327.8,0,94.6,10.5,7,157.9,511
Tesla Model X,Standard Range,Red Multi-Coat,Electric,Automatic,122046.86,2023-12-26,2024-02-11,New Jersey,310.7,0,92.8,2.5,7,152.4,694
Tesla Model X,Performance,Ultra Red,Electric,Automatic,116690.22,2024-09-29,2024-10-03,New Jersey,346.4,0,60.8,2.7,7,154.3,823
Tesla Model 3,Performance,Midnight Silver Metallic,Electric,Automatic,39345.79,2023-06-22,2023-08-19,Oregon,268.4,0,98.9,1.5,5,154.0,514
Tesla Roadster,Plaid,Red Multi-Coat,Electric,Automatic,210304.96,2023-05-23,2023-07-10,Maryland,432.4,0,97.7,5.4,5,144.9,593
Tesla Model Y,Performance,Red Multi-Coat,Electric,Automatic,60174.0,2023-10-31,2023-12-27,Connecticut,329.7,0,96.4,9.4,7,158.0,700
Tesla Cybertruck,Long Range,Deep Blue Metallic,Electric,Automatic,73041.58,2023-10-14,2023-10-24,Oregon,289.1,0,75.8,5.4,5,169.8,633
Tesla Model X,Plaid,Deep Blue Metallic,Electric,Automatic,123899.12,2025-03-11,2025-05-07,Florida,323.2,0,73.0,7.1,7,142.0,798
Tesla Model X,Plaid,Red Multi-Coat,Electric,Automatic,97989.19,2024-11-12,2025-01-22,Illinois,329.0,0,73.8,11.9,7,143.7,609
Tesla Model Y,Long Range,Pearl White,Electric,Automatic,53670.46,2023-06-21,2023-09-15,Washington,269.5,0,65.6,11.3,7,165.2,849
Tesla Roadster,Standard Range,Stealth Grey,Electric,Automatic,247129.36,2023-07-10,2023-07-15,California,582.8,0,72.9,10.9,5,147.7,480
Tesla Roadster,Standard Range,Deep Blue Metallic,Electric,Automatic,217204.17,2024-09-02,2024-11-22,Virginia,514.1,0,67.2,0.5,5,169.9,543
Tesla Model Y,Performance,Stealth Grey,Electric,Automatic,59192.33,2023-10-28,2024-01-26,Massachusetts,269.7,0,97.9,1.6,7,164.6,820
Tesla Model 3,Plaid,Red Multi-Coat,Electric,Automatic,51060.25,2023-07-26,2023-09-16,Maryland,312.9,0,69.3,10.2,5,140.1,488
Tesla Model S,Plaid,Midnight Silver Metallic,Electric,Automatic,89063.97,2025-02-20,2025-03-01,California,376.2,0,91.7,6.0,5,141.3,628
Tesla Model S,Performance,Ultra Red,Electric,Automatic,108154.39,2024-09-28,2024-12-16,California,354.1,0,71.5,4.7,5,168.9,542
Tesla Model S,Long Range,Ultra Red,Electric,Automatic,80539.8,2023-07-07,2023-09-02,Connecticut,338.9,0,97.3,7.5,5,151.6,462
Tesla Model S,Standard Range,Deep Blue Metallic,Electric,Automatic,102658.2,2025-02-03,2025-03-24,New York,326.6,0,61.3,7.5,5,147.7,531
Tesla Cybertruck,Standard Range,Solid Black,Electric,Automatic,57027.2,2024-06-17,2024-08-09,Texas,344.5,0,79.9,3.9,5,145.6,631
Tesla Model S,Plaid,Stealth Grey,Electric,Automatic,83529.13,2023-08-06,2023-09-02,Connecticut,334.9,0,66.8,6.7,5,146.3,536
Tesla Model S,Plaid,Deep Blue Metallic,Electric,Automatic,79436.97,2024-05-23,2024-08-12,Massachusetts,354.3,0,69.1,10.0,5,157.5,508
Tesla Model 3,Performance,Solid Black,Electric,Automatic,49142.05,2025-01-22,2025-03-03,Florida,299.0,0,62.0,1.7,5,149.5,647
Tesla Model X,Standard Range,Ultra Red,Electric,Automatic,83427.54,2023-04-22,2023-06-08,California,336.6,0,85.0,6.7,7,163.4,443
Tesla Model S,Standard Range,Midnight Silver Metallic,Electric,Automatic,108935.46,2023-07-19,2023-08-05,Texas,368.2,0,81.6,5.7,5,163.3,628
Tesla Cybertruck,Performance,Deep Blue Metallic,Electric,Automatic,60522.88,2024-05-21,2024-07-10,Virginia,257.6,0,93.4,0.6,5,155.9,432
Tesla Model S,Standard Range,Midnight Silver Metallic,Electric,Automatic,121467.56,2025-01-17,2025-03-14,Florida,347.2,0,90.6,7.4,5,144.4,598
Tesla Model X,Performance,Stealth Grey,Electric,Automatic,80888.25,2024-03-08,2024-06-02,Illinois,342.6,0,72.0,6.2,7,143.8,463
Tesla Model S,Long Range,Stealth Grey,Electric,Automatic,93396.08,2023-11-20,2024-02-12,Massachusetts,322.0,0,97.0,3.8,5,152.0,447
Tesla Cybertruck,Performance,Stealth Grey,Electric,Automatic,59228.64,2023-06-13,2023-06-14,Oregon,294.3,0,82.8,5.7,5,158.3,520
Tesla Model S,Plaid,Deep Blue Metallic,Electric,Automatic,114127.63,2024-11-23,2025-01-07,Texas,377.7,0,77.5,2.3,5,168.4,429
Tesla Cybertruck,Plaid,Stealth Grey,Electric,Automatic,55749.21,2024-07-14,2024-09-28,New York,253.8,0,74.5,3.8,5,155.7,649
Tesla Model Y,Performance,Pearl White,Electric,Automatic,61673.22,2024-09-04,2024-09-30,Colorado,312.2,0,79.6,11.2,7,154.1,813
Tesla Model S,Plaid,Ultra Red,Electric,Automatic,113484.22,2023-05-07,2023-06-03,Connecticut,392.0,0,70.8,9.9,5,166.1,535
Tesla Model 3,Plaid,Midnight Silver Metallic,Electric,Automatic,53179.58,2025-01-19,2025-02-13,Texas,297.8,0,89.0,4.4,5,140.7,533
Tesla Roadster,Long Range,Stealth Grey,Electric,Automatic,206937.48,2023-04-08,2023-05-17,Nevada,613.7,0,81.1,3.6,5,152.2,528
Tesla Cybertruck,Long Range,Deep Blue Metallic,Electric,Automatic,75536.87,2024-12-15,2025-02-02,New Jersey,258.6,0,76.5,7.4,5,159.5,601
Tesla Model S,Standard Range,Red Multi-Coat,Electric,Automatic,106034.08,2024-06-18,2024-08-05,Nevada,353.6,0,60.0,2.6,5,150.0,552
Tesla Model 3,Standard Range,Red Multi-Coat,Electric,Automatic,42602.12,2023-07-02,2023-09-17,Colorado,319.3,0,80.7,11.1,5,141.3,606
Tesla Cybertruck,Performance,Red Multi-Coat,Electric,Automatic,58440.61,2024-12-04,2025-02-25,Florida,328.3,0,75.9,6.4,5,144.4,585
Tesla Cybertruck,Plaid,Red Multi-Coat,Electric,Automatic,78629.17,2024-06-26,2024-09-17,Illinois,451.2,0,96.1,7.4,5,167.1,476
Tesla Model Y,Plaid,Deep Blue Metallic,Electric,Automatic,62121.62,2023-11-19,2024-01-16,Texas,304.9,0,95.0,8.9,7,147.7,632
Tesla Cybertruck,Performance,Pearl White,Electric,Automatic,77947.87,2023-08-14,2023-10-24,Texas,316.2,0,82.8,5.9,5,155.7,609
Tesla Model Y,Performance,Midnight Silver Metallic,Electric,Automatic,58102.45,2025-02-22,2025-05-02,Massachusetts,286.2,0,62.3,8.1,7,157.2,870
Tesla Model 3,Long Range,Pearl White,Electric,Automatic,48636.53,2024-05-01,2024-06-12,Washington,330.9,0,93.4,9.1,5,152.6,452
Tesla Model 3,Long Range,Ultra Red,Electric,Automatic,42275.86,2024-04-27,2024-05-06,Colorado,300.3,0,86.7,1.9,5,141.0,463
Tesla Cybertruck,Plaid,Ultra Red,Electric,Automatic,69142.0,2025-01-18,2025-03-27,Washington,496.4,0,91.8,10.0,5,165.6,455
Tesla Model X,Plaid,Stealth Grey,Electric,Automatic,100030.81,2024-07-21,2024-08-16,Massachusetts,329.9,0,99.1,1.5,7,168.8,807
Tesla Model S,Long Range,Ultra Red,Electric,Automatic,115658.67,2023-11-11,2024-01-17,Maryland,341.7,0,94.9,7.4,5,164.4,640
Tesla Model Y,Performance,Red Multi-Coat,Electric,Automatic,60061.34,2025-02-27,2025-03-19,Florida,324.7,0,85.3,6.1,7,166.3,863
Tesla Roadster,Plaid,Midnight Silver Metallic,Electric,Automatic,218447.27,2024-05-03,2024-07-20,Massachusetts,434.0,0,71.7,7.9,5,167.6,650
Tesla Cybertruck,Standard Range,Red Multi-Coat,Electric,Automatic,52069.18,2023-09-16,2023-11-21,Washington,327.1,0,76.0,3.9,5,146.1,583
Tesla Model Y,Performance,Stealth Grey,Electric,Automatic,45289.29,2024-06-18,2024-07-18,Nevada,260.3,0,75.8,5.8,7,169.4,744
Tesla Model X,Plaid,Solid Black,Electric,Automatic,88235.66,2023-04-28,2023-07-17,Washington,344.1,0,77.5,9.2,7,148.2,501
Tesla Cybertruck,Plaid,Midnight Silver Metallic,Electric,Automatic,77022.89,2024-08-03,2024-08-25,Oregon,283.8,0,85.6,10.0,5,161.0,466
Tesla Model S,Long Range,Deep Blue Metallic,Electric,Automatic,79410.57,2023-12-08,2024-02-11,New York,333.1,0,90.3,1.8,5,143.3,479
Tesla Cybertruck,Standard Range,Midnight Silver Metallic,Electric,Automatic,64927.87,2023-12-12,2024-02-15,Maryland,427.7,0,88.8,5.7,5,148.6,547
Tesla Roadster,Standard Range,Deep Blue Metallic,Electric,Automatic,201706.11,2025-02-15,2025-04-06,Oregon,432.3,0,90.2,8.1,5,167.6,557
Tesla Model X,Long Range,Deep Blue Metallic,Electric,Automatic,115321.71,2024-07-03,2024-07-04,New York,317.1,0,75.7,10.2,7,167.8,807
Tesla Roadster,Performance,Pearl White,Electric,Automatic,230653.07,2023-10-23,2023-11-21,Arizona,564.4,0,71.2,2.3,5,144.2,488
Tesla Model X,Standard Range,Deep Blue Metallic,Electric,Automatic,89187.46,2024-03-22,2024-03-26,California,313.1,0,94.2,1.6,7,153.1,803
Tesla Model 3,Long Range,Red Multi-Coat,Electric,Automatic,40892.18,2023-10-23,2023-12-30,Maryland,320.9,0,66.0,11.0,5,144.9,453
Tesla Model 3,Long Range,Stealth Grey,Electric,Automatic,48402.36,2023-11-29,2023-12-31,New York,300.7,0,93.5,10.2,5,149.4,517
Tesla Model X,Standard Range,Deep Blue Metallic,Electric,Automatic,84227.02,2023-03-17,2023-05-22,California,332.1,0,64.9,8.1,7,147.5,876
Tesla Model X,Standard Range,Midnight Silver Metallic,Electric,Automatic,95530.56,2024-04-03,2024-06-26,Massachusetts,323.3,0,98.6,2.5,7,160.8,863
Tesla Model S,Performance,Midnight Silver Metallic,Electric,Automatic,108644.84,2024-08-31,2024-11-15,California,337.4,0,92.7,8.3,5,167.9,457
Tesla Model X,Standard Range,Ultra Red,Electric,Automatic,100318.98,2024-01-22,2024-04-14,Arizona,311.4,0,76.5,6.0,7,160.4,544
Tesla Roadster,Plaid,Pearl White,Electric,Automatic,244236.43,2023-11-27,2023-11-28,Arizona,456.6,0,94.2,7.0,5,164.4,595
Tesla Model 3,Performance,Pearl White,Electric,Automatic,45567.37,2024-08-09,2024-10-12,Maryland,320.2,0,74.4,4.0,5,144.3,562
Tesla Roadster,Performance,Ultra Red,Electric,Automatic,248552.72,2023-06-06,2023-09-02,Texas,615.6,0,65.9,3.7,5,141.2,512
Tesla Model 3,Long Range,Pearl White,Electric,Automatic,44740.14,2023-07-01,2023-08-14,Massachusetts,320.5,0,84.1,3.4,5,163.0,477
Tesla Roadster,Plaid,Ultra Red,Electric,Automatic,216006.9,2023-10-09,2023-11-18,Maryland,520.4,0,81.1,8.9,5,140.4,488
Tesla Model X,Long Range,Stealth Grey,Electric,Automatic,110897.6,2024-09-18,2024-10-29,California,311.3,0,95.6,6.0,7,161.4,851
Tesla Roadster,Plaid,Midnight Silver Metallic,Electric,Automatic,240905.39,2023-04-06,2023-05-14,Oregon,618.7,0,77.1,0.7,5,157.1,452
Tesla Roadster,Long Range,Ultra Red,Electric,Automatic,216903.94,2024-12-02,2024-12-03,Florida,537.2,0,96.3,5.8,5,145.8,591
Tesla Roadster,Performance,Pearl White,Electric,Automatic,211235.96,2024-08-21,2024-10-05,Colorado,498.9,0,92.7,5.3,5,156.0,510
Tesla Model S,Performance,Deep Blue Metallic,Electric,Automatic,109256.59,2024-01-17,2024-01-26,Connecticut,366.7,0,77.7,2.9,5,143.2,427
Tesla Roadster,Plaid,Stealth Grey,Electric,Automatic,209707.79,2024-05-07,2024-05-09,Virginia,590.0,0,95.4,6.8,5,151.1,487
Tesla Model S,Performance,Deep Blue Metallic,Electric,Automatic,79706.8,2023-12-23,2024-01-13,New York,352.4,0,65.4,10.4,5,142.6,555
Tesla Model S,Long Range,Pearl White,Electric,Automatic,88069.67,2024-04-24,2024-06-18,Connecticut,387.9,0,78.5,3.6,5,167.5,477
Tesla Model X,Performance,Pearl White,Electric,Automatic,139989.51,2025-01-10,2025-03-10,California,339.6,0,93.0,3.2,7,141.0,453
Tesla Model X,Performance,Ultra Red,Electric,Automatic,86945.67,2024-11-06,2025-01-22,Texas,321.6,0,62.5,6.8,7,161.2,656
Tesla Model X,Long Range,Deep Blue Metallic,Electric,Automatic,123918.79,2023-07-06,2023-08-12,Nevada,341.5,0,95.5,10.0,7,162.2,851
Tesla Model S,Long Range,Deep Blue Metallic,Electric,Automatic,107026.25,2024-07-09,2024-09-03,New York,398.1,0,71.2,6.3,5,165.0,427
Tesla Model 3,Performance,Ultra Red,Electric,Automatic,53707.38,2025-01-01,2025-03-20,Colorado,316.7,0,74.9,5.7,5,162.2,548
Tesla Roadster,Standard Range,Midnight Silver Metallic,Electric,Automatic,233861.46,2024-02-11,2024-04-09,Connecticut,545.1,0,70.9,7.1,5,156.7,517
Tesla Roadster,Long Range,Midnight Silver Metallic,Electric,Automatic,241641.73,2023-10-19,2023-12-02,Florida,514.8,0,99.8,10.3,5,153.1,622
Tesla Cybertruck,Performance,Ultra Red,Electric,Automatic,68257.59,2024-09-14,2024-11-15,Maryland,356.5,0,82.0,10.5,5,146.1,628
Tesla Model 3,Standard Range,Ultra Red,Electric,Automatic,43178.21,2024-10-16,2024-10-31,New Jersey,323.3,0,97.7,7.8,5,150.5,611
Tesla Cybertruck,Performance,Solid Black,Electric,Automatic,75192.03,2024-01-07,2024-02-05,Florida,268.9,0,77.9,9.9,5,142.6,436
Tesla Model S,Long Range,Midnight Silver Metallic,Electric,Automatic,120488.08,2023-03-31,2023-05-17,Colorado,397.6,0,81.4,8.9,5,147.0,501
Tesla Roadster,Standard Range,Red Multi-Coat,Electric,Automatic,202622.8,2023-11-27,2024-01-15,New Jersey,424.8,0,69.2,1.6,5,166.3,460
Tesla Model X,Performance,Midnight Silver Metallic,Electric,Automatic,107589.33,2024-09-06,2024-12-02,Oregon,336.2,0,68.3,7.5,7,147.1,776
Tesla Model X,Long Range,Deep Blue Metallic,Electric,Automatic,105247.19,2025-01-30,2025-02-14,California,306.8,0,63.1,3.8,7,153.4,815
Tesla Model Y,Standard Range,Pearl White,Electric,Automatic,67160.59,2024-06-27,2024-07-11,New York,325.2,0,89.8,3.7,7,164.0,715
Tesla Model Y,Long Range,Solid Black,Electric,Automatic,68996.93,2024-04-25,2024-05-07,Texas,261.5,0,79.5,8.8,7,143.2,464
Tesla Model 3,Plaid,Deep Blue Metallic,Electric,Automatic,43853.58,2023-06-20,2023-07-30,Arizona,268.1,0,67.7,5.9,5,155.4,573
Tesla Model Y,Long Range,Pearl White,Electric,Automatic,50444.2,2024-05-12,2024-05-24,Maryland,293.9,0,60.0,2.1,7,148.8,464
Tesla Model 3,Plaid,Ultra Red,Electric,Automatic,43896.85,2024-12-05,2024-12-31,California,304.0,0,94.7,11.0,5,162.9,593
Tesla Model 3,Standard Range,Solid Black,Electric,Automatic,44268.05,2025-03-10,2025-04-06,New Jersey,326.0,0,61.3,2.1,5,148.9,556
Tesla Model 3,Standard Range,Solid Black,Electric,Automatic,42945.24,2023-05-10,2023-07-31,Florida,326.1,0,67.8,1.1,5,165.5,516
Tesla Model X,Performance,Pearl White,Electric,Automatic,95391.25,2023-07-26,2023-08-01,New York,344.1,0,64.0,9.1,7,167.0,707
Tesla Model X,Performance,Stealth Grey,Electric,Automatic,84423.31,2024-09-20,2024-10-29,Massachusetts,316.6,0,62.7,7.3,7,152.3,509
Tesla Model S,Plaid,Solid Black,Electric,Automatic,93302.47,2024-07-04,2024-07-28,Oregon,403.4,0,90.8,1.4,5,159.7,552
Tesla Model 3,Performance,Solid Black,Electric,Automatic,53714.16,2023-06-25,2023-07-13,Texas,297.7,0,79.1,10.8,5,140.7,604
Tesla Model S,Plaid,Solid Black,Electric,Automatic,109387.86,2024-07-07,2024-08-22,Florida,320.2,0,71.6,4.7,5,152.0,581
Tesla Model X,Performance,Red Multi-Coat,Electric,Automatic,89402.37,2024-04-27,2024-05-05,New York,334.8,0,85.7,5.2,7,160.3,710
Tesla Model S,Long Range,Stealth Grey,Electric,Automatic,124061.64,2023-12-21,2024-01-06,Connecticut,360.7,0,99.3,10.9,5,141.9,537
Tesla Model Y,Performance,Deep Blue Metallic,Electric,Automatic,61971.61,2024-09-18,2024-10-16,Illinois,312.4,0,60.2,8.5,7,148.5,594
Tesla Model S,Performance,Ultra Red,Electric,Automatic,104907.81,2025-02-18,2025-03-08,Texas,402.2,0,99.8,9.1,5,162.4,472
Tesla Model X,Standard Range,Deep Blue Metallic,Electric,Automatic,100119.7,2023-10-21,2023-11-08,New Jersey,347.6,0,86.1,4.8,7,155.2,624
Tesla Model 3,Performance,Stealth Grey,Electric,Automatic,49046.75,2024-03-04,2024-04-24,Texas,296.4,0,100.0,5.8,5,168.7,470
Tesla Model X,Long Range,Pearl White,Electric,Automatic,139404.58,2025-01-22,2025-03-30,Arizona,312.7,0,83.3,1.2,7,168.3,797
Tesla Model 3,Long Range,Stealth Grey,Electric,Automatic,39247.03,2023-05-02,2023-05-28,New Jersey,321.5,0,62.6,4.9,5,154.9,480
Tesla Roadster,Standard Range,Deep Blue Metallic,Electric,Automatic,207059.32,2024-04-28,2024-05-12,New Jersey,495.2,0,66.1,4.0,5,159.1,496
Tesla Model X,Plaid,Midnight Silver Metallic,Electric,Automatic,82725.26,2023-08-05,2023-08-18,Arizona,315.6,0,86.5,2.9,7,153.9,709
Tesla Roadster,Plaid,Midnight Silver Metallic,Electric,Automatic,223653.07,2024-03-27,2024-06-23,Illinois,579.6,0,63.9,2.9,5,151.1,633
Tesla Model Y,Performance,Ultra Red,Electric,Automatic,63968.37,2024-02-02,2024-02-29,California,326.9,0,75.5,4.5,7,153.9,496
Tesla Model S,Long Range,Pearl White,Electric,Automatic,103975.11,2025-01-24,2025-03-07,New Jersey,327.3,0,88.3,4.4,5,155.3,478
Tesla Roadster,Long Range,Midnight Silver Metallic,Electric,Automatic,238049.23,2025-01-04,2025-03-24,Texas,453.0,0,88.6,10.4,5,164.5,622
Tesla Model S,Plaid,Solid Black,Electric,Automatic,122165.56,2024-01-16,2024-01-29,New Jersey,365.7,0,91.1,3.3,5,169.1,488
Tesla Roadster,Long Range,Deep Blue Metallic,Electric,Automatic,233643.84,2024-11-21,2024-12-21,New York,487.3,0,96.9,5.2,5,169.0,587
Tesla Model X,Standard Range,Solid Black,Electric,Automatic,106762.82,2024-10-17,2024-12-11,Florida,315.0,0,82.3,10.3,7,143.8,861
Tesla Model S,Long Range,Red Multi-Coat,Electric,Automatic,93662.96,2023-04-20,2023-05-26,Illinois,329.2,0,89.3,7.4,5,152.1,442
Tesla Cybertruck,Long Range,Pearl White,Electric,Automatic,52137.84,2025-02-22,2025-04-09,Connecticut,329.5,0,84.2,1.4,5,150.3,504
Tesla Roadster,Plaid,Pearl White,Electric,Automatic,221027.72,2024-12-31,2025-01-23,Massachusetts,487.1,0,65.0,7.6,5,156.3,615
Tesla Model Y,Plaid,Red Multi-Coat,Electric,Automatic,50002.71,2023-08-23,2023-10-28,Connecticut,290.7,0,82.4,4.9,7,156.5,728
Tesla Model X,Long Range,Solid Black,Electric,Automatic,92140.52,2024-10-18,2024-11-12,Connecticut,334.3,0,92.2,10.2,7,164.6,716
Tesla Roadster,Plaid,Pearl White,Electric,Automatic,241065.76,2024-03-05,2024-04-15,Texas,527.3,0,65.7,10.1,5,168.1,618
Tesla Model S,Plaid,Stealth Grey,Electric,Automatic,97311.96,2024-12-04,2024-12-25,Colorado,388.6,0,71.0,1.2,5,140.1,612
Tesla Model S,Plaid,Pearl White,Electric,Automatic,104294.03,2025-01-19,2025-01-20,Washington,385.3,0,64.9,6.5,5,162.8,477
Tesla Cybertruck,Plaid,Pearl White,Electric,Automatic,72707.57,2023-07-26,2023-10-05,Washington,417.6,0,74.5,9.0,5,146.5,433
Tesla Cybertruck,Performance,Red Multi-Coat,Electric,Automatic,73445.5,2024-06-17,2024-06-20,Connecticut,295.0,0,67.8,3.0,5,164.0,480
Tesla Model S,Long Range,Ultra Red,Electric,Automatic,127043.2,2023-11-08,2024-01-27,Maryland,353.2,0,73.8,8.6,5,147.9,454
Tesla Model Y,Performance,Deep Blue Metallic,Electric,Automatic,52676.94,2024-07-25,2024-10-09,Arizona,302.3,0,91.2,7.4,7,163.0,432
Tesla Model 3,Long Range,Red Multi-Coat,Electric,Automatic,40777.62,2024-07-30,2024-08-05,Colorado,272.9,0,62.3,5.7,5,151.6,545
Tesla Model 3,Long Range,Red Multi-Coat,Electric,Automatic,41040.44,2023-10-13,2024-01-03,Colorado,296.9,0,69.1,1.9,5,150.8,467
Tesla Roadster,Standard Range,Ultra Red,Electric,Automatic,233659.41,2023-08-31,2023-09-02,New Jersey,475.6,0,87.5,6.5,5,153.4,608
Tesla Roadster,Standard Range,Solid Black,Electric,Automatic,219661.42,2024-03-29,2024-04-17,Arizona,608.5,0,82.8,3.4,5,168.8,451
Tesla Model 3,Standard Range,Stealth Grey,Electric,Automatic,50687.96,2024-09-02,2024-11-27,New York,313.4,0,81.6,1.9,5,148.1,437
Tesla Model X,Standard Range,Midnight Silver Metallic,Electric,Automatic,122755.22,2024-12-26,2025-02-19,Virginia,327.8,0,66.6,0.7,7,146.0,781
Tesla Roadster,Long Range,Deep Blue Metallic,Electric,Automatic,237037.88,2023-10-11,2024-01-08,Florida,468.7,0,85.4,10.6,5,151.3,622
Tesla Model 3,Standard Range,Ultra Red,Electric,Automatic,44580.01,2024-02-06,2024-02-24,Oregon,279.1,0,79.9,9.9,5,158.4,433
Tesla Model X,Standard Range,Stealth Grey,Electric,Automatic,128668.99,2024-03-16,2024-05-20,Washington,336.2,0,89.6,2.5,7,143.4,662
Tesla Model 3,Plaid,Solid Black,Electric,Automatic,51457.56,2023-12-24,2024-03-05,California,295.2,0,91.5,9.8,5,158.3,624
Tesla Model X,Performance,Midnight Silver Metallic,Electric,Automatic,126126.13,2024-02-21,2024-03-05,Washington,318.1,0,78.4,8.2,7,152.0,865
Tesla Cybertruck,Standard Range,Ultra Red,Electric,Automatic,69584.96,2023-09-16,2023-12-05,New York,468.0,0,83.2,1.6,5,140.8,581
Tesla Model X,Long Range,Midnight Silver Metallic,Electric,Automatic,123753.47,2024-04-07,2024-06-27,Oregon,342.3,0,90.3,4.7,7,164.9,648
Tesla Model X,Plaid,Stealth Grey,Electric,Automatic,102898.41,2024-02-22,2024-04-03,Illinois,321.8,0,63.9,8.8,7,142.4,438
Tesla Model X,Long Range,Deep Blue Metallic,Electric,Automatic,96434.59,2023-12-11,2024-03-02,Virginia,312.1,0,70.6,2.2,7,141.3,771
Tesla Model X,Plaid,Stealth Grey,Electric,Automatic,108064.66,2025-02-22,2025-04-24,Maryland,346.3,0,63.2,5.2,7,141.1,861
