model,color,fuel_type,transmission,price,manufacture_date,sale_date,state,mileage,seating_capacity,ground_clearance,boot_space
BMW M5 CS,Ultra Red,Diesel,Automatic,144685.35,2025-04-04,2025-04-28,New Jersey,309.1,6,155.6,588
Mercedes-AMG GT,Solid Black,Oil,Automatic,127543.69,2025-02-17,2025-04-29,China,307.0,6,157.8,591
Nissan GT-R,Red Multi-Coat,Diesel,Automatic,134243.97,2023-10-06,2023-12-28,Virginia,305.7,6,167.2,536
Nissan GT-R,Midnight Silver Metallic,Oil,Automatic,125219.03,2023-08-27,2023-09-23,South Korea,285.2,6,149.3,489
Bentley Continental GT,Pearl White,Oil,Automatic,225256.75,2024-05-21,2024-06-06,German,285.8,6,151.9,629
Rolls-Royce Ghost,Red Multi-Coat,Oil,Automatic,425113.42,2023-08-02,2023-08-25,Massachusetts,363.5,6,169.3,482
Maserati MC20,Pearl White,Oil,Automatic,250359.75,2024-01-16,2024-03-15,Massachusetts,343.0,6,159.9,555
Jaguar F-Type,Ultra Red,Oil,Automatic,93870.19,2023-06-09,2023-07-06,France,278.7,6,161.6,552
Audi RS7,Pearl White,Diesel,Automatic,126554.82,2024-03-24,2024-06-15,Japan,293.1,6,146.1,448
Ferrari SF90,Stealth Grey,Oil,Automatic,464374.48,2024-11-14,2025-01-08,South Korea,341.4,6,168.2,567
Lotus Emira,Stealth Grey,Oil,Automatic,92045.58,2024-10-11,2024-11-28,Virginia,237.4,6,143.9,536
Lexus LC 500,Midnight Silver Metallic,Oil,Automatic,102604.97,2024-05-09,2024-06-01,China,309.2,6,147.1,534
Maserati MC20,Deep Blue Metallic,Diesel,Automatic,245327.29,2025-04-30,2025-05-12,Nevada,345.6,6,161.4,595
Lotus Emira,Ultra Red,Diesel,Automatic,103927.04,2024-04-14,2024-07-04,Massachusetts,260.4,6,150.8,449
Bentley Continental GT,Midnight Silver Metallic,Oil,Automatic,228353.87,2023-12-17,2023-12-27,Washington,297.1,6,168.4,597
Pagani Huayra,Stealth Grey,Diesel,Automatic,2840959.96,2024-02-05,2024-04-24,Connecticut,332.8,6,141.3,496
McLaren 720S,Pearl White,Diesel,Automatic,296332.35,2023-08-15,2023-09-21,New York,318.3,6,146.9,627
Pagani Huayra,Deep Blue Metallic,Diesel,Automatic,3116929.12,2023-08-07,2023-08-26,France,339.5,6,167.7,533
Porsche 911,Stealth Grey,Oil,Automatic,200185.54,2024-06-17,2024-07-30,Washington,338.6,6,157.9,463
Mercedes-AMG GT,Solid Black,Diesel,Automatic,138125.18,2024-01-04,2024-03-07,Nevada,307.7,6,144.0,586
Lexus LC 500,Deep Blue Metallic,Oil,Automatic,117904.37,2023-07-23,2023-08-25,Virginia,294.6,6,164.5,533
Maserati Ghibli,Stealth Grey,Diesel,Automatic,85769.82,2024-01-15,2024-03-24,Japan,260.0,6,159.1,587
Rolls-Royce Ghost,Ultra Red,Diesel,Automatic,411057.36,2023-11-28,2024-02-14,New York,353.9,6,161.8,505
Maserati Ghibli,Pearl White,Diesel,Automatic,86268.53,2024-08-05,2024-08-31,Nevada,273.5,6,167.0,430
Porsche Cayman GT4,Stealth Grey,Oil,Automatic,109007.01,2024-01-23,2024-04-18,New Jersey,250.9,6,152.7,452
Audi RS e-tron GT,Solid Black,Diesel,Automatic,171826.05,2024-10-24,2024-11-28,Italy,375.3,6,161.9,637
McLaren 720S,Solid Black,Oil,Automatic,281738.56,2024-01-28,2024-04-26,Italy,313.7,6,152.9,540
Maserati MC20,Ultra Red,Oil,Automatic,276056.33,2023-08-06,2023-10-10,Colorado,344.3,6,150.9,610
Bugatti Chiron,Deep Blue Metallic,Diesel,Automatic,3023730.49,2023-11-09,2024-01-11,Italy,358.4,6,165.3,551
Bentley Continental GT,Solid Black,Diesel,Automatic,241316.58,2025-01-26,2025-02-08,Maryland,286.4,6,163.5,445
Porsche 911,Midnight Silver Metallic,Diesel,Automatic,153585.23,2023-10-22,2023-11-26,Maryland,319.2,6,167.7,642
Audi RS e-tron GT,Red Multi-Coat,Oil,Automatic,152241.84,2024-01-15,2024-03-31,Maryland,387.3,6,156.4,491
Aston Martin DBS,Solid Black,Oil,Automatic,363520.21,2024-10-17,2024-12-26,New York,320.5,6,159.2,430
BMW M8,Midnight Silver Metallic,Diesel,Automatic,142283.44,2024-04-12,2024-06-24,Massachusetts,305.3,6,156.1,553
Bentley Continental GT,Red Multi-Coat,Diesel,Automatic,225867.06,2023-05-29,2023-06-19,Japan,292.2,6,141.0,458
Porsche Cayman GT4,Ultra Red,Oil,Automatic,114326.93,2024-01-26,2024-03-05,Italy,273.4,6,152.8,465
Lamborghini Huracán,Red Multi-Coat,Oil,Automatic,257547.53,2024-09-14,2024-09-25,German,294.4,6,156.5,473
Lotus Emira,Deep Blue Metallic,Oil,Automatic,100673.41,2025-02-05,2025-03-01,Connecticut,264.5,6,151.5,578
Porsche Cayman GT4,Deep Blue Metallic,Oil,Automatic,113117.75,2025-05-02,2025-05-30,Maryland,273.8,6,147.5,603
Lexus LC 500,Pearl White,Diesel,Automatic,116819.28,2023-06-03,2023-07-02,Massachusetts,275.3,6,159.1,587
Maserati Ghibli,Pearl White,Diesel,Automatic,80231.52,2024-12-11,2025-01-05,Japan,264.3,6,143.3,481
Alpine A110,Stealth Grey,Diesel,Automatic,70679.71,2024-12-12,2025-03-04,Massachusetts,217.3,6,169.7,607
Koenigsegg Jesko,Ultra Red,Oil,Automatic,3333093.68,2024-01-09,2024-04-04,South Korea,369.2,6,145.1,525
Alpine A110,Ultra Red,Oil,Automatic,74472.95,2024-01-15,2024-03-27,New Jersey,186.0,6,166.2,625
BMW M5 CS,Midnight Silver Metallic,Diesel,Automatic,167672.22,2024-11-24,2025-02-10,Nevada,272.6,6,143.4,432
Porsche Cayman GT4,Pearl White,Diesel,Automatic,116541.93,2024-09-21,2024-10-12,France,262.2,6,162.7,587
Maserati Ghibli,Ultra Red,Diesel,Automatic,77334.37,2024-07-26,2024-09-08,Japan,292.2,6,160.3,549
Rolls-Royce Ghost,Solid Black,Oil,Automatic,368487.19,2024-08-15,2024-10-03,German,351.0,6,160.3,531
Maserati MC20,Deep Blue Metallic,Diesel,Automatic,243230.57,2024-02-03,2024-05-02,Italy,313.3,6,148.8,635
Audi RS e-tron GT,Deep Blue Metallic,Diesel,Automatic,152693.62,2025-05-02,2025-05-10,Maryland,333.6,6,141.1,517
Lotus Emira,Deep Blue Metallic,Oil,Automatic,100295.21,2024-12-01,2025-01-16,South Korea,242.0,6,160.2,460
Bentley Continental GT,Deep Blue Metallic,Oil,Automatic,221076.09,2024-04-16,2024-06-25,France,289.0,6,166.4,472
Rolls-Royce Ghost,Red Multi-Coat,Diesel,Automatic,389625.4,2024-09-06,2024-09-13,Nevada,362.3,6,167.1,504
Ferrari SF90,Ultra Red,Oil,Automatic,466125.81,2024-01-26,2024-03-14,New Jersey,344.7,6,150.3,621
Lamborghini Huracán,Red Multi-Coat,Oil,Automatic,270718.93,2023-10-31,2024-01-24,Connecticut,337.3,6,155.1,532
Maserati MC20,Red Multi-Coat,Diesel,Automatic,245547.84,2024-11-08,2025-01-14,France,311.2,6,149.4,425
BMW M5 CS,Pearl White,Oil,Automatic,152127.76,2023-12-25,2024-01-31,Washington,309.8,6,157.5,454
Audi RS e-tron GT,Stealth Grey,Oil,Automatic,175308.66,2023-09-01,2023-11-28,Japan,348.0,6,163.6,498
BMW M8,Pearl White,Oil,Automatic,136898.02,2023-07-23,2023-10-08,Maryland,301.6,6,157.9,583
Bentley Continental GT,Deep Blue Metallic,Oil,Automatic,275898.11,2024-11-15,2025-02-03,Massachusetts,333.7,6,160.1,459
Aston Martin DBS,Pearl White,Diesel,Automatic,311608.66,2023-10-20,2023-12-26,New York,292.0,6,163.2,599
Lamborghini Huracán,Solid Black,Diesel,Automatic,279189.04,2024-02-12,2024-02-25,New Jersey,316.2,6,156.1,535
Rolls-Royce Ghost,Red Multi-Coat,Diesel,Automatic,386235.98,2023-07-07,2023-09-24,German,368.1,6,161.8,490
Ferrari SF90,Red Multi-Coat,Oil,Automatic,498257.22,2023-08-28,2023-11-05,Virginia,377.6,6,168.9,606
Mercedes-AMG GT,Stealth Grey,Oil,Automatic,122562.75,2025-05-10,2025-06-19,Japan,286.9,6,152.8,619
Porsche 911,Midnight Silver Metallic,Oil,Automatic,203678.01,2024-11-16,2025-01-21,Colorado,291.2,6,142.3,563
Lotus Emira,Deep Blue Metallic,Oil,Automatic,104625.66,2024-11-14,2024-12-17,South Korea,272.2,6,164.9,552
Lamborghini Huracán,Red Multi-Coat,Diesel,Automatic,231554.05,2025-03-08,2025-05-06,German,331.7,6,157.2,490
Aston Martin Vantage,Ultra Red,Oil,Automatic,177836.54,2023-10-19,2023-12-01,Italy,274.3,6,165.1,497
Audi RS e-tron GT,Solid Black,Oil,Automatic,172114.24,2024-01-12,2024-02-23,Maryland,361.6,6,153.2,586
Porsche 911,Deep Blue Metallic,Diesel,Automatic,237443.5,2023-08-29,2023-10-04,New York,296.4,6,148.4,484
BMW M5 CS,Deep Blue Metallic,Diesel,Automatic,151709.03,2024-09-04,2024-10-16,Nevada,291.6,6,148.7,529
Aston Martin DBS,Ultra Red,Oil,Automatic,304669.55,2024-01-14,2024-01-28,Washington,292.3,6,150.3,636
Aston Martin DBS,Ultra Red,Oil,Automatic,325457.22,2024-10-25,2024-12-28,China,304.0,6,169.6,534
Ferrari SF90,Deep Blue Metallic,Oil,Automatic,494243.52,2024-02-01,2024-02-17,German,367.6,6,166.9,644
Ferrari SF90,Pearl White,Diesel,Automatic,458931.78,2024-09-15,2024-10-01,New Jersey,358.3,6,148.0,650
Koenigsegg Jesko,Deep Blue Metallic,Diesel,Automatic,3363542.35,2024-11-29,2025-01-31,New Jersey,398.8,6,153.7,571
Audi RS e-tron GT,Solid Black,Oil,Automatic,150452.11,2023-05-27,2023-07-04,New York,370.3,6,153.7,591
Porsche 911,Solid Black,Diesel,Automatic,120071.8,2024-03-28,2024-05-08,Connecticut,314.1,6,143.1,623
Nissan GT-R,Pearl White,Oil,Automatic,137392.21,2024-06-20,2024-07-22,Connecticut,299.1,6,168.1,577
Aston Martin Vantage,Pearl White,Diesel,Automatic,178182.18,2024-09-25,2024-12-04,China,308.8,6,155.4,551
Maserati Ghibli,Ultra Red,Diesel,Automatic,83350.11,2024-11-28,2024-12-04,Nevada,289.6,6,163.0,648
Bentley Continental GT,Stealth Grey,Diesel,Automatic,228569.19,2024-12-28,2025-03-03,German,335.2,6,169.8,430
Alpine A110,Deep Blue Metallic,Diesel,Automatic,67755.31,2024-06-16,2024-08-16,New York,190.1,6,140.9,527
Lamborghini Huracán,Midnight Silver Metallic,Oil,Automatic,272928.9,2023-12-09,2024-01-06,New York,336.5,6,142.0,592
Ferrari SF90,Stealth Grey,Diesel,Automatic,541584.14,2023-10-25,2023-12-20,South Korea,347.7,6,159.6,497
Bugatti Chiron,Ultra Red,Oil,Automatic,2598618.18,2024-07-20,2024-08-23,Massachusetts,402.8,6,162.7,625
Aston Martin Vantage,Ultra Red,Oil,Automatic,151349.18,2023-12-23,2024-02-15,Virginia,307.0,6,150.3,521
Jaguar F-Type,Midnight Silver Metallic,Oil,Automatic,80423.78,2023-11-18,2024-01-03,New Jersey,308.2,6,147.1,622
Jaguar F-Type,Ultra Red,Diesel,Automatic,78213.38,2024-10-14,2024-11-22,France,305.0,6,147.6,524
Maserati MC20,Ultra Red,Oil,Automatic,249576.03,2024-04-01,2024-06-02,China,347.8,6,148.3,524
Nissan GT-R,Midnight Silver Metallic,Oil,Automatic,116541.83,2025-05-10,2025-05-13,Virginia,280.4,6,149.6,635
Rolls-Royce Ghost,Solid Black,Diesel,Automatic,353475.93,2023-09-10,2023-11-01,Colorado,333.3,6,150.8,602
Bugatti Chiron,Deep Blue Metallic,Oil,Automatic,2583110.48,2025-03-16,2025-05-06,Washington,417.7,6,147.8,601
Alpine A110,Pearl White,Oil,Automatic,68231.21,2025-01-02,2025-03-12,Colorado,197.3,6,154.9,554
Audi RS7,Ultra Red,Diesel,Automatic,128949.98,2024-10-29,2024-12-10,Massachusetts,303.2,6,152.3,544
BMW M8,Solid Black,Diesel,Automatic,145774.29,2024-05-15,2024-07-12,Virginia,347.0,6,147.4,632
Audi RS7,Stealth Grey,Oil,Automatic,128143.9,2023-07-12,2023-08-11,New Jersey,267.5,6,152.1,429
Pagani Huayra,Stealth Grey,Oil,Automatic,3034277.81,2024-05-04,2024-07-17,New York,356.5,6,169.5,544
Nissan GT-R,Red Multi-Coat,Oil,Automatic,141098.03,2023-06-07,2023-07-04,German,293.5,6,165.9,429
Porsche Cayman GT4,Solid Black,Oil,Automatic,114338.01,2024-01-04,2024-03-30,Washington,269.8,6,143.0,636
Lotus Emira,Ultra Red,Oil,Automatic,104386.13,2023-08-14,2023-09-03,Nevada,235.6,6,143.5,558
Rolls-Royce Ghost,Midnight Silver Metallic,Diesel,Automatic,399091.56,2023-11-29,2023-12-24,New York,367.6,6,149.4,453
Lamborghini Huracán,Midnight Silver Metallic,Diesel,Automatic,253172.41,2024-09-26,2024-12-20,Maryland,323.8,6,155.3,582
BMW M5 CS,Stealth Grey,Diesel,Automatic,143906.01,2024-01-19,2024-02-05,New Jersey,290.0,6,150.4,605
Range Rover Sport,Stealth Grey,Diesel,Automatic,125401.04,2023-10-04,2023-11-17,France,272.3,6,149.1,446
Ferrari SF90,Ultra Red,Diesel,Automatic,528206.42,2023-12-11,2024-03-07,Italy,350.4,6,160.0,612
Aston Martin DBS,Ultra Red,Diesel,Automatic,338489.1,2023-09-03,2023-10-07,Maryland,291.2,6,168.2,646
Koenigsegg Jesko,Solid Black,Diesel,Automatic,3112772.64,2023-09-24,2023-11-18,Virginia,397.6,6,156.1,611
Audi RS7,Red Multi-Coat,Oil,Automatic,128591.07,2024-06-09,2024-06-14,Nevada,273.3,6,147.6,497
Alpine A110,Midnight Silver Metallic,Oil,Automatic,81784.34,2024-02-10,2024-05-03,German,185.5,6,156.5,614
Koenigsegg Jesko,Midnight Silver Metallic,Diesel,Automatic,3170011.2,2024-03-25,2024-05-18,New Jersey,343.7,6,163.8,646
Audi RS e-tron GT,Pearl White,Diesel,Automatic,156960.91,2023-12-23,2024-02-11,Massachusetts,333.1,6,155.4,442
BMW M5 CS,Pearl White,Diesel,Automatic,142217.66,2023-09-15,2023-12-09,France,280.9,6,166.9,448
Lotus Emira,Deep Blue Metallic,Oil,Automatic,90656.2,2024-07-31,2024-10-14,Nevada,252.5,6,152.6,456
Ferrari SF90,Solid Black,Diesel,Automatic,543245.35,2024-04-30,2024-07-16,Nevada,349.6,6,154.3,582
Bentley Continental GT,Solid Black,Diesel,Automatic,244829.62,2024-11-17,2025-01-12,New York,335.9,6,165.3,498
Nissan GT-R,Pearl White,Oil,Automatic,143761.22,2024-09-18,2024-10-28,Colorado,314.8,6,160.3,515
Maserati Ghibli,Pearl White,Oil,Automatic,92371.7,2024-05-12,2024-06-30,Connecticut,275.1,6,149.0,428
Porsche 911,Solid Black,Diesel,Automatic,128785.25,2025-04-04,2025-06-21,Massachusetts,325.1,6,160.4,525
BMW M8,Stealth Grey,Diesel,Automatic,154553.45,2025-02-06,2025-03-02,Connecticut,337.7,6,159.8,476
Koenigsegg Jesko,Deep Blue Metallic,Diesel,Automatic,3455749.99,2025-01-18,2025-03-05,Connecticut,381.4,6,163.5,571
Ferrari SF90,Deep Blue Metallic,Oil,Automatic,487078.2,2023-12-27,2024-03-14,Japan,359.8,6,152.6,643
Audi RS7,Red Multi-Coat,Diesel,Automatic,138496.3,2023-09-29,2023-10-09,Italy,281.6,6,167.1,624
Mercedes-AMG GT,Deep Blue Metallic,Diesel,Automatic,153247.4,2023-11-28,2024-01-12,German,301.6,6,160.7,476
McLaren 720S,Solid Black,Oil,Automatic,292353.09,2023-12-11,2024-03-05,France,307.7,6,160.3,446
Ferrari SF90,Red Multi-Coat,Oil,Automatic,490159.66,2024-03-19,2024-05-16,Nevada,348.3,6,148.1,639
McLaren 720S,Pearl White,Diesel,Automatic,285737.87,2023-12-15,2024-01-17,Nevada,339.1,6,152.2,434
Maserati Ghibli,Red Multi-Coat,Oil,Automatic,77482.52,2023-07-07,2023-09-12,South Korea,257.0,6,141.6,477
Porsche 911,Ultra Red,Oil,Automatic,152830.9,2025-01-08,2025-02-02,Japan,346.4,6,146.4,469
Koenigsegg Jesko,Pearl White,Oil,Automatic,3359152.1,2024-05-26,2024-08-02,Nevada,393.8,6,151.7,642
Porsche Cayman GT4,Ultra Red,Oil,Automatic,118247.2,2024-07-09,2024-10-02,Virginia,267.2,6,148.1,437
Maserati Ghibli,Ultra Red,Oil,Automatic,94199.96,2023-06-01,2023-06-03,Nevada,293.7,6,162.6,562
BMW M5 CS,Pearl White,Diesel,Automatic,167351.19,2023-07-29,2023-07-30,Virginia,304.3,6,158.2,621
Audi RS7,Deep Blue Metallic,Oil,Automatic,125305.56,2024-09-22,2024-12-19,New York,274.2,6,155.9,565
Lamborghini Huracán,Midnight Silver Metallic,Diesel,Automatic,256603.22,2023-07-10,2023-09-09,Massachusetts,303.9,6,166.7,574
Ferrari SF90,Red Multi-Coat,Diesel,Automatic,494328.6,2023-09-07,2023-11-01,Colorado,366.5,6,163.4,444
Bugatti Chiron,Deep Blue Metallic,Diesel,Automatic,3188841.15,2023-10-17,2024-01-07,Maryland,398.8,6,152.2,460
Mercedes-AMG GT,Ultra Red,Diesel,Automatic,129429.36,2024-07-26,2024-08-22,Washington,317.8,6,141.8,428
McLaren 720S,Red Multi-Coat,Diesel,Automatic,312613.61,2024-11-02,2024-12-08,Massachusetts,353.6,6,146.3,487
Audi RS7,Solid Black,Diesel,Automatic,130785.88,2024-10-05,2024-10-23,China,268.0,6,150.7,594
Koenigsegg Jesko,Solid Black,Diesel,Automatic,3110881.05,2024-06-06,2024-07-05,Nevada,378.4,6,162.4,525
Mercedes-AMG GT,Stealth Grey,Diesel,Automatic,151423.12,2025-01-03,2025-03-19,Connecticut,293.0,6,140.4,548
Lotus Emira,Red Multi-Coat,Oil,Automatic,98140.46,2024-07-25,2024-09-22,South Korea,273.1,6,140.7,567
Nissan GT-R,Ultra Red,Oil,Automatic,141698.33,2025-04-20,2025-06-14,China,294.8,6,168.8,635
Aston Martin DBS,Midnight Silver Metallic,Oil,Automatic,323395.52,2023-11-16,2024-02-05,China,334.5,6,163.7,467
Audi RS e-tron GT,Pearl White,Oil,Automatic,150291.26,2023-10-17,2023-12-18,Virginia,353.9,6,158.5,430
Rolls-Royce Ghost,Midnight Silver Metallic,Oil,Automatic,403093.82,2024-01-01,2024-02-06,South Korea,329.4,6,141.8,638
Aston Martin DBS,Deep Blue Metallic,Diesel,Automatic,307580.32,2025-02-05,2025-04-28,Colorado,308.9,6,148.4,439
Lexus LC 500,Pearl White,Diesel,Automatic,116562.23,2024-03-22,2024-05-30,China,273.6,6,165.9,435
Maserati Ghibli,Solid Black,Oil,Automatic,81084.66,2024-06-19,2024-09-14,German,283.5,6,149.5,553
Bentley Continental GT,Solid Black,Diesel,Automatic,230760.82,2024-07-29,2024-08-01,Connecticut,323.5,6,157.1,628
Maserati Ghibli,Pearl White,Oil,Automatic,92075.1,2024-04-08,2024-06-25,Maryland,263.5,6,152.2,456
Maserati MC20,Deep Blue Metallic,Oil,Automatic,273123.4,2025-02-14,2025-03-02,German,358.7,6,164.1,470
Lamborghini Huracán,Deep Blue Metallic,Oil,Automatic,211189.56,2025-03-12,2025-06-10,Maryland,317.9,6,157.6,503
Porsche 911,Ultra Red,Oil,Automatic,152694.0,2024-02-02,2024-02-14,Maryland,328.3,6,151.7,566
Ferrari SF90,Midnight Silver Metallic,Diesel,Automatic,509101.85,2024-05-25,2024-06-02,Italy,373.7,6,150.6,648
Aston Martin Vantage,Deep Blue Metallic,Diesel,Automatic,159309.27,2023-11-20,2023-12-09,Colorado,284.2,6,160.3,454
Jaguar F-Type,Ultra Red,Oil,Automatic,76453.41,2025-03-31,2025-05-31,Connecticut,260.9,6,167.2,477
Pagani Huayra,Ultra Red,Oil,Automatic,3011935.05,2025-04-12,2025-06-08,Washington,360.2,6,160.8,471
Lamborghini Huracán,Midnight Silver Metallic,Oil,Automatic,270944.35,2024-11-20,2025-02-13,Maryland,299.7,6,161.0,573
Lexus LC 500,Deep Blue Metallic,Oil,Automatic,117391.68,2024-10-30,2025-01-14,South Korea,294.0,6,146.5,607
Jaguar F-Type,Midnight Silver Metallic,Oil,Automatic,91361.94,2025-05-06,2025-08-02,New Jersey,273.4,6,140.2,648
Ferrari SF90,Midnight Silver Metallic,Diesel,Automatic,479887.99,2024-11-08,2024-12-13,France,368.7,6,168.8,543
Ferrari SF90,Pearl White,Oil,Automatic,543570.63,2023-11-14,2024-02-07,Maryland,352.2,6,143.5,533
Lamborghini Huracán,Solid Black,Oil,Automatic,221823.72,2024-11-05,2024-12-28,Japan,294.0,6,143.2,603
Rolls-Royce Ghost,Ultra Red,Oil,Automatic,401319.92,2025-01-15,2025-01-20,France,375.7,6,147.2,604
Maserati Ghibli,Stealth Grey,Oil,Automatic,91665.41,2024-02-16,2024-05-12,Massachusetts,259.9,6,141.2,613
Lamborghini Huracán,Midnight Silver Metallic,Oil,Automatic,203641.4,2025-05-06,2025-06-18,New Jersey,327.6,6,148.8,439
Bugatti Chiron,Midnight Silver Metallic,Diesel,Automatic,2879802.64,2023-11-06,2024-01-03,China,400.6,6,143.9,647
Maserati MC20,Ultra Red,Diesel,Automatic,268725.14,2023-12-12,2024-02-03,China,332.5,6,147.4,526
Audi RS e-tron GT,Solid Black,Oil,Automatic,179866.76,2025-02-02,2025-02-23,Japan,334.6,6,142.0,588
BMW M8,Stealth Grey,Diesel,Automatic,146802.79,2023-06-07,2023-09-05,Maryland,339.9,6,166.3,614
Rolls-Royce Ghost,Ultra Red,Oil,Automatic,410425.66,2025-03-07,2025-04-06,Colorado,369.1,6,168.2,460
Audi RS7,Red Multi-Coat,Oil,Automatic,130418.01,2024-04-29,2024-06-04,Virginia,287.5,6,141.3,478
Ferrari SF90,Pearl White,Oil,Automatic,527334.54,2024-07-24,2024-10-07,Japan,352.4,6,163.2,550
Mercedes-AMG GT,Ultra Red,Diesel,Automatic,155243.1,2024-04-12,2024-05-26,Nevada,307.8,6,153.2,428
McLaren 720S,Solid Black,Diesel,Automatic,299915.46,2025-01-01,2025-03-25,China,343.9,6,140.6,632
Ferrari SF90,Deep Blue Metallic,Oil,Automatic,523859.02,2024-06-07,2024-06-30,New York,371.1,6,163.5,617
Pagani Huayra,Midnight Silver Metallic,Oil,Automatic,2916181.59,2024-06-27,2024-08-07,Washington,340.5,6,155.6,522
BMW M8,Red Multi-Coat,Diesel,Automatic,131067.83,2024-08-19,2024-08-27,Washington,293.3,6,148.5,495
Alpine A110,Midnight Silver Metallic,Diesel,Automatic,81354.72,2024-11-02,2024-11-10,France,195.1,6,146.6,633
Ferrari SF90,Midnight Silver Metallic,Oil,Automatic,532652.13,2024-04-02,2024-05-05,Nevada,367.5,6,151.4,554
Lotus Emira,Pearl White,Diesel,Automatic,100097.18,2025-01-25,2025-04-18,Virginia,257.4,6,143.7,529
BMW M5 CS,Deep Blue Metallic,Oil,Automatic,144070.3,2024-02-23,2024-05-03,Virginia,271.7,6,167.5,632
Pagani Huayra,Red Multi-Coat,Diesel,Automatic,2833451.9,2023-10-13,2023-12-14,China,343.4,6,147.5,603
Bentley Continental GT,Stealth Grey,Oil,Automatic,253270.04,2024-09-25,2024-12-01,Connecticut,346.4,6,162.4,447
Mercedes-AMG GT,Red Multi-Coat,Oil,Automatic,125692.9,2023-11-17,2023-12-16,Italy,325.2,6,165.3,567
Lexus LC 500,Ultra Red,Oil,Automatic,116567.8,2023-12-20,2024-03-15,South Korea,278.6,6,147.4,451
Maserati MC20,Deep Blue Metallic,Diesel,Automatic,230726.23,2023-11-07,2024-01-08,South Korea,331.0,6,153.1,565
Alpine A110,Solid Black,Diesel,Automatic,66718.81,2024-04-25,2024-06-08,Maryland,200.3,6,158.0,457
Koenigsegg Jesko,Midnight Silver Metallic,Oil,Automatic,3497155.04,2024-07-07,2024-09-21,Virginia,394.5,6,154.3,535
Pagani Huayra,Ultra Red,Diesel,Automatic,2913564.42,2025-05-13,2025-08-08,Italy,368.2,6,150.1,571
BMW M8,Deep Blue Metallic,Oil,Automatic,143193.93,2024-08-25,2024-10-03,Connecticut,337.2,6,158.5,616
Aston Martin Vantage,Midnight Silver Metallic,Oil,Automatic,167480.39,2025-05-16,2025-08-06,Italy,277.2,6,165.2,512
Bugatti Chiron,Ultra Red,Oil,Automatic,3030924.72,2024-10-25,2024-11-12,Japan,394.8,6,155.6,582
Maserati Ghibli,Red Multi-Coat,Oil,Automatic,76130.25,2023-11-18,2023-12-11,Massachusetts,282.9,6,141.3,450
Bentley Continental GT,Deep Blue Metallic,Diesel,Automatic,251078.71,2025-05-01,2025-05-31,German,346.0,6,150.4,598
Jaguar F-Type,Midnight Silver Metallic,Diesel,Automatic,78426.79,2024-11-18,2024-12-03,China,260.8,6,151.6,434
Porsche Cayman GT4,Red Multi-Coat,Oil,Automatic,106563.82,2023-05-25,2023-06-20,France,247.7,6,161.3,503
Bentley Continental GT,Red Multi-Coat,Diesel,Automatic,235018.1,2023-06-08,2023-08-12,France,342.5,6,155.0,426
Rolls-Royce Ghost,Ultra Red,Diesel,Automatic,393875.46,2025-04-23,2025-07-07,Connecticut,333.4,6,158.7,562
Porsche Cayman GT4,Ultra Red,Oil,Automatic,122590.45,2023-09-19,2023-09-27,Nevada,240.1,6,163.9,569
Audi RS7,Pearl White,Diesel,Automatic,143828.17,2024-06-21,2024-08-09,Colorado,277.4,6,143.1,529
Mercedes-AMG GT,Midnight Silver Metallic,Diesel,Automatic,133213.93,2024-12-10,2025-02-10,German,312.0,6,154.2,483
Audi RS e-tron GT,Stealth Grey,Oil,Automatic,178814.26,2023-11-30,2024-02-17,South Korea,339.0,6,145.0,444
Ferrari SF90,Ultra Red,Diesel,Automatic,504090.49,2024-12-12,2025-02-19,France,356.2,6,143.3,633
Audi RS7,Stealth Grey,Diesel,Automatic,138400.05,2024-11-29,2024-12-29,New Jersey,291.4,6,149.5,440
BMW M5 CS,Ultra Red,Oil,Automatic,157388.76,2024-08-09,2024-09-23,Nevada,294.2,6,158.3,561
Jaguar F-Type,Ultra Red,Oil,Automatic,90539.85,2023-07-04,2023-07-30,New York,293.0,6,141.4,555
BMW M5 CS,Midnight Silver Metallic,Oil,Automatic,150094.32,2024-12-06,2024-12-17,Massachusetts,290.0,6,164.0,526
Lexus LC 500,Red Multi-Coat,Diesel,Automatic,111566.62,2024-02-14,2024-02-19,New Jersey,308.9,6,158.2,560
BMW M8,Deep Blue Metallic,Diesel,Automatic,134563.57,2024-05-24,2024-07-05,Connecticut,314.0,6,155.4,466
McLaren 720S,Stealth Grey,Diesel,Automatic,282042.64,2025-04-19,2025-07-14,France,355.5,6,164.8,569
Range Rover Sport,Pearl White,Diesel,Automatic,87417.28,2024-10-06,2024-11-20,Italy,278.7,6,159.5,519
Audi RS e-tron GT,Stealth Grey,Oil,Automatic,176426.17,2023-10-10,2023-12-15,France,360.2,6,142.3,465
Koenigsegg Jesko,Solid Black,Diesel,Automatic,3430905.85,2024-07-17,2024-08-07,German,367.8,6,154.1,650
Ferrari SF90,Deep Blue Metallic,Oil,Automatic,480652.2,2024-08-07,2024-09-24,Virginia,344.5,6,167.9,581
Porsche Cayman GT4,Solid Black,Diesel,Automatic,107716.56,2023-07-02,2023-09-23,Italy,246.7,6,143.9,649
Mercedes-AMG GT,Solid Black,Diesel,Automatic,134380.69,2024-12-19,2025-03-18,Japan,301.6,6,144.2,615
